"Variable","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-3.20630894858774,0.193170174941651,-16.5983643673577,2.01046606294848e-32
"cc_acr:phaseFalling",-0.00132422928458484,0.000290861431738215,-4.55278404108485,1.31421948019609e-05
"cc_acr:phaseRising",-0.000835810946651148,0.000290585146371692,-2.87630306327512,0.00478952966556938
"phaseFalling:URXUMA",0.000522142033014375,0.000207400924509685,2.51754920692262,0.0131818493546792
"phaseRising:URXUMA",0.000332333452067509,0.000197111308156921,1.68601921003404,0.0944800857626059
"phaseFalling:LBXSGTSI",0.00144358318762447,0.000730103288119585,1.97723145630871,0.0503874652794545
"phaseRising:LBXSGTSI",0.000342193362169739,0.000549291914058599,0.622971781327249,0.53452592846663
"phaseFalling:LBXSIR",-0.00171533122373151,0.00157727826865673,-1.08752606170904,0.279058892849059
"phaseRising:LBXSIR",-0.000508288259541457,0.00125948152824731,-0.403569443569997,0.687272318405907
"phaseFalling:LBXPLTSI",0.000393501954340327,0.000631635481224992,0.622988996085481,0.534514655335698
"phaseRising:LBXPLTSI",-0.000723369180718229,0.000561417986424786,-1.2884681257271,0.200147029852912
"phaseFalling:LBDSCR",0.00610934144037406,0.00141119283803502,4.32920383076835,3.19232754675626e-05
"phaseRising:LBDSCR",0.00573478104178122,0.000915907265295138,6.26131188066651,6.65981245437609e-09
"phaseFalling:cc_cvd_miYes",-0.276818800988053,0.243699779734848,-1.13590090762182,0.258339408356479
"phaseRising:cc_cvd_miYes",0.522715800804959,0.200104066317078,2.61221978356343,0.0101855824813959
"phaseFalling:cc_cvd_chdYes",0.565113694707419,0.270844449044972,2.08648800704638,0.0391256370164327
"phaseRising:cc_cvd_chdYes",-0.230934274271029,0.194782282603704,-1.18560205365741,0.238202480153066
"phaseFalling:cc_cvd_hfYes",0.466709171683726,0.21876595405713,2.13337204911623,0.0350011108604238
"phaseRising:cc_cvd_hfYes",0.363595211556411,0.165509001917628,2.19683042821664,0.030020727080033
"phaseFalling:demo_age_cat45 to 64",0.928811934847204,0.160744395834604,5.77819170630927,6.46403231305193e-08
"phaseRising:demo_age_cat45 to 64",1.06951981481259,0.122899549445672,8.70239003834083,2.55473006052977e-14
"phaseFalling:demo_age_cat65 to 74",1.10577570155967,0.174308562795775,6.34378302375901,4.4805034973637e-09
"phaseRising:demo_age_cat65 to 74",1.40921246742118,0.149465269892029,9.42836063815472,5.1915120693733e-16
"phaseFalling:demo_age_cat75+",0.649181216610941,0.194300147738697,3.34112569736173,0.00112316758631908
"phaseRising:demo_age_cat75+",0.889017640128844,0.135966916760839,6.53848495875355,1.74206185563898e-09
"phaseFalling:demo_raceNon-Hispanic Asian",-0.269035972445907,0.141997362798746,-1.89465471149076,0.0606278242503038
"phaseRising:demo_raceNon-Hispanic Asian",0.212202505040376,0.254434180172549,0.8340172884652,0.405985414188649
"phaseFalling:demo_raceNon-Hispanic Black",0.130399672917725,0.13519010763807,0.964565197823724,0.336769196251355
"phaseRising:demo_raceNon-Hispanic Black",0.0966646456479415,0.101589202873382,0.951524797063539,0.343316449671214
"phaseFalling:demo_raceNon-Hispanic White",0.297123258892699,0.130940168704166,2.26915286449639,0.0251074705035453
"phaseRising:demo_raceNon-Hispanic White",0.109486648297348,0.0946126921546923,1.15720888819374,0.24956438453347
"phaseFalling:demo_raceOther",0.023224951028453,0.199811927894488,0.116234057061483,0.907668035067707
"phaseRising:demo_raceOther",-0.526463339322011,0.235296698191549,-2.23744465336028,0.0271674228616434
"phaseFalling:demo_genderWomen",0.328978651893746,0.104521338611259,3.14747836436825,0.00209357331962657
"phaseRising:demo_genderWomen",0.379353949106642,0.0883530639966813,4.29361396137763,3.66712997382156e-05
"phaseFalling:htn_resistant_accaha_thzYes",-0.578198660637615,0.254816270614253,-2.2690806173555,0.025112003963267
"phaseRising:htn_resistant_accaha_thzYes",-0.237322548505015,0.177649744568037,-1.33590143392593,0.184196493040202
"phaseFalling:cc_diabetesYes",0.781833849710529,0.132293654071285,5.90983638027904,3.51015010290667e-08
"phaseRising:cc_diabetesYes",0.698460070681712,0.101073821185587,6.91039541682345,2.77548179042369e-10
"phaseFalling:cc_ckdYes",-0.0868313820892823,0.117838719946848,-0.736866304457894,0.46269138135149
"phaseRising:cc_ckdYes",-0.239789803684287,0.088866322942692,-2.69832030564517,0.00800950452026136
"phaseFalling:cc_cvd_anyYes",0.327404044433985,0.220699169569239,1.48348562014534,0.140657434779536
"phaseRising:cc_cvd_anyYes",0.219102020754729,0.133730996525541,1.63837873378056,0.104052390084694
