"column","missing_rate"
"svy_id",0.000127885414668457
"demo_age_years",0.0135558539548564
"cc_smoke",0.0128524841741799
"cc_acr",0.0319713536671143
"cc_egfr",0.107104034784833
"cc_hba1c",0.0874096809258904
"cc_egfr_lt60",0.107104034784833
"cc_acr_gteq30",0.0300530724470874
"cc_cvd_mi",0.0167529893215679
"cc_cvd_chd",0.0168808747362363
"cc_cvd_stroke",0.0164332757848967
"cc_cvd_hf",0.0191828122002686
"URXUMA",0.186392991879276
"URXUCR",0.190293497026664
"LBXSAL",0.196176226101413
"LBXSATSI",0.205383975957542
"LBXSASSI",0.199565189590127
"LBXSBU",0.26568194897372
"LBXSCA",0.231344715135239
"LBXSC3SI",0.19809450732144
"LBXSGTSI",0.214591725813671
"LBXSGL",0.247650105505467
"LBXSIR",0.223415819425794
"LBDSTPSI",0.238634183771341
"LBDSTRSI",0.196687767760087
"LBDSUASI",0.196559882345419
"LBXSNASI",0.196495939638084
"LBXSKSI",0.19643199693075
"LBXSCLSI",0.230193746403223
"LBXSOSSI",0.196495939638084
"LBDSGBSI",0.197838736492103
"BMXWT",0.170982799411727
"BMXHT",0.166890466142336
"BMXBMI",0.171494341070401
"BMXLEG",0.209987850885607
"BMXARML",0.193426689686041
"BMXARMC",0.193043033442036
"BMXWAIST",0.213248928959652
"BPQ020",0.151096617430782
"BPACSZ",0.151096617430782
"LBXWBCSI",0.309546646205
"LBXLYPCT",0.296758104738155
"LBXMOPCT",0.312807724279046
"LBXNEPCT",0.296885990152823
"LBXEOPCT",0.297845130762836
"LBXBAPCT",0.296566276616152
"LBDLYMNO",0.296566276616152
"LBDMONO",0.296566276616152
"LBDNENO",0.301809578617559
"LBDEONO",0.296566276616152
"LBDBANO",0.296566276616152
"LBXRBCSI",0.294711938103459
"LBXHCT",0.294711938103459
"LBXMC",0.294200396444785
"LBXRDW",0.294711938103459
"LBXPLTSI",0.295095594347465
"LBXMPSI",0.317475541914445
"LBDSPH",0.196304111516082
"LBDSTB",0.196623825052753
"LBDSCR",0.196240168808747
"RIDEXMON",0.151096617430782
"RIAGENDR",0.151096617430782
"RIDRETH1",0.151096617430782
"DMDHHSIZ",0.188822814757977
"INDFMPIR",0.229042777671207
"DMDHRGND",0.151096617430782
"SMQ020",0.163885158897628
"LBXTC",0.104546326491464
