"var1","var2","r"
"URXUMA","cc_acr",0.881641656677638
"LBXSGL","cc_hba1c",0.84880380657445
"BMXBMI","BMXWT",0.874974947827212
"BMXARMC","BMXWT",0.880040327689309
"BMXWAIST","BMXWT",0.892281371152468
"BMXARMC","BMXBMI",0.867985721044063
"BMXWAIST","BMXBMI",0.895754211012059
"BPACSZ","BMXARMC",0.832987396477949
"LBXNEPCT","LBXLYPCT",-0.938133336334942
"LBDEONO","LBXEOPCT",0.814962128843218
"LBXHCT","LBXRBCSI",0.815068213380832
"ldl_corrected","LBXTC",0.834916592757776
