"column","missing_rate"
"svy_id",8.99442345745638e-05
"demo_age_years",0.0132218024824609
"chol_measured_never",0.0208670624212988
"chol_measured_last",0.0375067458175931
"chol_hdl",0.00980392156862745
"chol_trig",0.0213167835941716
"chol_ldl_5cat",0.00161899622234215
"chol_nonhdl",0.015470408346825
"chol_med_recommended_ever",0.000539665407447383
"cc_smoke",0.0118726389638424
"cc_acr",0.0144810217665048
"cc_egfr",0.00341788091383342
"cc_hba1c",0.0107933081489477
"cc_egfr_lt60",0.00341788091383342
"cc_acr_gteq30",0.0128620255441626
"cc_cvd_mi",0.015470408346825
"cc_cvd_chd",0.0155603525813995
"cc_cvd_stroke",0.0150206871739521
"cc_cvd_hf",0.0179888469149128
"URXUMA",0.187533729087965
"URXUCR",0.190591833063501
"LBXSAL",0.110541464292139
"LBXSATSI",0.119355999280446
"LBXSASSI",0.11332973556395
"LBXSBU",0.187443784853391
"LBXSCA",0.163068897283684
"LBXSC3SI",0.111800683576183
"LBXSGTSI",0.126101816873538
"LBXSGL",0.164148228098579
"LBXSIR",0.140402950170894
"LBDSTPSI",0.151825867961864
"LBDSUASI",0.110721352761288
"LBXSNASI",0.110541464292139
"LBXSKSI",0.110631408526713
"LBXSCLSI",0.145619715776219
"LBXSOSSI",0.110631408526713
"LBDSGBSI",0.111261018168735
"BMXWT",0.178809138334233
"BMXHT",0.176560532469869
"BMXBMI",0.179168915272531
"BMXLEG",0.198147148767764
"BMXARML",0.18663428674222
"BMXARMC",0.186904119445944
"BMXWAIST",0.201295196977874
"BPQ020",0.16594711279007
"BPACSZ",0.166037057024645
"LBXWBCSI",0.275769023205613
"LBXLYPCT",0.265605324698687
"LBXMOPCT",0.282874617737003
"LBXNEPCT",0.265965101636985
"LBXEOPCT",0.266594711279007
"LBXBAPCT",0.265605324698687
"LBDLYMNO",0.265695268933261
"LBDMONO",0.265605324698687
"LBDNENO",0.269472926785393
"LBDEONO",0.265605324698687
"LBDBANO",0.265605324698687
"LBXRBCSI",0.264166216945494
"LBXHCT",0.264166216945494
"LBXMC",0.263806440007196
"LBXRDW",0.264166216945494
"LBXPLTSI",0.264525993883792
"LBXMPSI",0.28755171793488
"LBDSPH",0.110631408526713
"LBDSTB",0.111171073934161
"LBDSCR",0.110631408526713
"RIDEXMON",0.16594711279007
"RIAGENDR",0.16594711279007
"RIDRETH1",0.16594711279007
"DMDHHSIZ",0.202464472027343
"INDFMPIR",0.23394495412844
"DMDHRGND",0.16594711279007
"SMQ020",0.177639863284763
"LBXTC",0.000629609642021946
"ldl_corrected",0.00161899622234215
