"var1","var2","r"
"LBXSASSI","LBXSATSI",0.820671263305584
"BMXBMI","BMXWT",0.870938824318524
"BMXARMC","BMXWT",0.883516925663869
"BMXWAIST","BMXWT",0.89020567108571
"BMXARMC","BMXBMI",0.873793232766941
"BMXWAIST","BMXBMI",0.892385979323024
"BMXWAIST","BMXARMC",0.80516728137291
"BPACSZ","BMXARMC",0.837433948428755
"LBXNEPCT","LBXLYPCT",-0.938096900679767
"LBDEONO","LBXEOPCT",0.884771776532963
"LBXHCT","LBXRBCSI",0.81781424246515
